Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_THTPad_D1.5mm_Drill0.7mm,8,TestPoint,
U1,ESP32-NodeMCU_WROOM_32,1,ESP32NodeMCU,
U2,nRF24L01+PA+LNA_Breakout,1,NRF24L01+PA+LNA_Breakout,
